company;source_name;source_type;url;published_date;esg_area;used_for_datanxt;notes;notes2
Zalando;Corporate Governance Statement 2025;governance_statement;https://corporate.zalando.com/sites/default/files/media-download/zalando-se_agm-2026_7_corporate-governance-statement_2025_en.pdf;07.05.2026;G;yes;Management Board, Supervisory Board, committee structure, independence, diversity and governance processes;
Zalando;DSA Risk Report 2025;platform_ai_governance;https://corporate.zalando.com/en/investor-relations/corporate-governance/transparency-hub;;G;yes;Closest Responsible-AI equivalent: platform, recommender-system and systemic-risk governance;
Zalando;DSA Audit Report 2025;external_audit;https://corporate.zalando.com/en/investor-relations/corporate-governance/transparency-hub;;G;yes;Independent assessment of Digital Services Act compliance, transparency and automated-system governance;
Zalando;do.BETTER 2021-2025 Highlights and Insights;diversity_inclusion;https://corporate.zalando.com/sites/default/files/media-download/zalando-se_d_i_appendix_1920x1080_en_rz_v3.pdf;05.03.2026;S;yes;Diversity, inclusion, equitable systems, leadership and workplace culture;
Zalando;Full CSRD ESRS Report 2025;official_esg_reference;https://corporate.zalando.com/en/people-planet/reports-policies-and-guidelines;12.03.2026;E+S+G;no;Official sustainability and CSRD comparison reference only;
Zalando;Modern Slavery Statement 2025;human_rights_supply_chain;https://corporate.zalando.com/sites/default/files/media-download/Zalando-SE_Modern-Slavery-Statement_2025.pdf;;S;yes;Optional official comparison source for human rights and supply-chain due diligence;Reclassified as targeted legal/supply-chain due-diligence input for Social and Governance rather than as the official overall ESG benchmark report.
Amazon;Amazon 2025 Sustainability Report;Official sustainability report / benchmark;https://sustainability.aboutamazon.com/2025-amazon-sustainability-report.pdf;2026;"Environmental; Social; Governance";no;"Official Amazon sustainability report for financial year 2025; reserved as benchmark/comparison source under the project rule.";Contains Amazon's 2025 sustainability data, including climate, water, employee, human-rights, supply-chain and responsible-business disclosures.
Amazon;Amazon Supply Chain Standards;Supplier code / standards;https://sustainability.aboutamazon.com/amazon-supply-chain-standards-english.pdf;30.12.2022;"Social; Governance; Environmental";yes;Defines Amazon's supplier requirements for labor rights, health and safety, environmental management, responsible sourcing, ethics and management systems.;Useful for the Social and Governance tasks, especially supply-chain labor rights, grievance mechanisms, forced-labor prevention and supplier accountability.
Amazon;Amazon Human Rights;Company policy / due diligence webpage;https://sustainability.aboutamazon.com/human-rights;2026;"Social; Governance";yes;Current Amazon human-rights page with due-diligence approach, grievance figures, supplier-risk assessment and case examples.;Adds current social-risk and remediation context without using the full sustainability report as an input source.
Microsoft;Microsoft Global Diversity and Inclusion;Company social webpage;https://www.microsoft.com/en-us/diversity/default;2026;Social;yes;Current Microsoft diversity and inclusion overview page, complementing the 2024 Global Diversity & Inclusion Report already in the source list.;Useful for updating the Social task with current inclusion framing, accessibility and inclusive-product context.
SAP;SAP Integrated Report 2025 - CSRD Sustainability Statement;Official sustainability report / benchmark;https://www.sap.com/integrated-reports/2025/en/csrd.html;2026;"Environmental; Social; Governance";no;"Official SAP CSRD sustainability statement within the 2025 Integrated Report; reserved as benchmark/comparison source.";Includes double materiality, climate action, circular economy, social responsibility and sustainability governance framing.
SAP;SAP Integrated Report 2025 - Environmental Performance;Official sustainability report / benchmark;https://www.sap.com/integrated-reports/2025/en/csrd/environmental-performance.html;2026;Environmental;no;"SAP's official environmental performance page; kept as benchmark source, not DataNXT input.";Useful for later comparison on net-zero target, emissions transition plan, AI/cloud energy uncertainty and e-waste treatment.
SAP;SAP Integrated Report 2025 - Social Performance;Official sustainability report / benchmark;https://www.sap.com/integrated-reports/2025/en/csrd/social-performance.html;2026;Social;no;"SAP's official social performance page; kept as benchmark source, not DataNXT input.";Useful for later comparison on workforce, engagement survey, inclusion strategy and regional/function workforce breakdown.
Zalando;Zalando Sustainability;Company sustainability strategy webpage;https://corporate.zalando.com/en/sustainability;2026;"Environmental; Social";yes;Current Zalando sustainability strategy page with net-zero, decent-work, SBTi and supplier-target progress.;"Used as a targeted strategy source rather than a full official ESG report; supports Environment and Social tasks."
Zalando;Zalando Inclusive by Design D&I Strategy;Company D&I strategy webpage;https://corporate.zalando.com/en/people-planet/diversity-inclusion/our-strategy;05.03.2026;Social;yes;Zalando's refreshed D&I strategy covering inclusive leadership, equitable systems, diverse teams, accessibility and representation.;Useful for the Social task and for linking workforce inclusion with platform/customer inclusion.
Zalando;Zalando ESG Reporting and Standards;Investor relations / reporting overview;https://corporate.zalando.com/en/investor-relations/sustainable-investments/esg-reporting-and-standards;2026;"Environmental; Social; Governance";yes;Overview of Zalando's ESG reporting approach, standards, CDP/TCFD/SASB references and historical sustainability reports.;Useful for Governance and source triangulation, without treating the official full CSRD report as a DataNXT input.
SAP;SAP Integrated Report 2025 Official Online Benchmark;Official online integrated report benchmark;"https://www.sap.com/integrated-reports/2025/en.html; https://www.sap.com/integrated-reports/2025/en/csrd.html; https://www.sap.com/integrated-reports/2025/en/csrd/environmental-performance.html; https://www.sap.com/integrated-reports/2025/en/csrd/social-performance.html";2026;"Environmental; Social; Governance";no;"Official SAP Integrated Report 2025 online benchmark captured from SAP public report pages on 2026-07-20; used only for generated-vs-actual comparison.";Local benchmark file: reports/actual/SAP Integrated Report 2025 Official Online Benchmark.html. It replaces the SEC Form 20-F as SAP's primary actual ESG benchmark in the final analysis.
